"time","summary","icon","precipProbability","precipType","temperatureMin","temperatureMax","humidity","windSpeed","cloudCover"
2017-07-18,"Clear throughout the day.","clear-day",0,NA,56.44,77.56,0.58,2.91,0.05
2017-07-19,"Clear throughout the day.","clear-day",0,NA,57.1,75.41,0.67,2.57,0.08
2017-07-20,"Partly cloudy in the morning.","partly-cloudy-night",0.02,"rain",61.25,72.49,0.71,5.99,0.29
2017-07-21,"Partly cloudy starting in the evening.","partly-cloudy-night",0,NA,55.76,72.75,0.71,2.53,0.16
2017-07-22,"Partly cloudy in the morning.","partly-cloudy-day",0,NA,61.64,76.83,0.65,2.03,0.19
2017-07-23,"Partly cloudy until afternoon.","partly-cloudy-day",0,NA,61.68,70.48,0.75,5.62,0.2
2017-07-24,"Clear throughout the day.","clear-day",0,NA,56.64,75.36,0.66,4.9,0.06
2017-07-25,"Clear throughout the day.","clear-day",0,NA,57.1,79.9,0.6,3.77,0.02
2017-07-26,"Clear throughout the day.","clear-day",0,NA,56.26,73.89,0.72,2.25,0.1
2017-07-27,"Partly cloudy starting in the afternoon, continuing until evening.","partly-cloudy-day",0,NA,57.01,64.98,0.8,2.56,0.28
2017-07-28,"Partly cloudy in the morning.","partly-cloudy-night",0,NA,57.19,73.8,0.72,3.13,0.12
2017-07-29,"Clear throughout the day.","clear-day",0,NA,57.24,76.63,0.68,3.37,0.03
2017-07-30,"Partly cloudy until afternoon.","partly-cloudy-day",0,NA,58.21,73.93,0.74,3.1,0.1
2017-07-31,"Clear throughout the day.","clear-day",0,NA,58.92,78.14,0.6,5.11,0
2017-08-01,"Clear throughout the day.","clear-day",0,NA,58.08,82.44,0.61,4.52,0
2017-08-02,"Clear throughout the day.","clear-day",0,NA,63.57,83.1,0.58,4.41,0.07
2017-08-03,"Clear throughout the day.","clear-day",0,NA,62.98,81.5,0.56,2.57,0.11
2017-08-04,"Clear throughout the day.","clear-day",0,NA,62.07,77.93,0.59,2.67,0.03
2017-08-05,"Clear throughout the day.","clear-day",0,NA,59.5,71.9,0.75,2.19,0.05
2017-08-06,"Clear throughout the day.","clear-day",0,NA,58.16,72.14,0.78,2.06,0.07
2017-08-07,"Clear throughout the day.","clear-day",0,NA,58.07,78.24,0.76,1.85,0.05
2017-08-08,"Clear throughout the day.","clear-day",0,NA,59.06,80.88,0.72,3.17,0.04
2017-08-09,"Clear throughout the day.","clear-day",0,NA,59.26,77.37,0.71,2.21,0.04
2017-08-10,"Clear throughout the day.","clear-day",0,NA,59.24,81.61,0.72,2.58,0.03
2017-08-11,"Clear throughout the day.","clear-day",0,NA,58.34,75.68,0.78,1.58,0.07
2017-08-12,"Mostly cloudy in the morning.","partly-cloudy-night",0,NA,57.97,72.91,0.78,6.72,0.26
2017-08-13,"Partly cloudy starting in the afternoon.","partly-cloudy-night",0.85,"rain",60.01,68.54,0.8,1.47,0.48
2017-08-14,"Partly cloudy until afternoon.","partly-cloudy-day",0,NA,56.94,68.92,0.68,3.29,0.18
2017-08-15,"Clear throughout the day.","clear-day",0,NA,53.17,74.3,0.65,2.49,0.04
2017-08-16,"Partly cloudy overnight.","partly-cloudy-night",0,NA,56.32,73.31,0.66,1.67,0.13
2017-08-17,"Mostly cloudy until afternoon.","partly-cloudy-day",0,NA,60.11,72.72,0.75,1.56,0.51
2017-08-18,"Partly cloudy throughout the day.","partly-cloudy-day",0,NA,56.44,70.17,0.76,1.48,0.34
2017-08-19,"Partly cloudy in the morning.","partly-cloudy-day",0,NA,57.71,72.34,0.66,2.64,0.27
2017-08-20,"Clear throughout the day.","clear-day",0,NA,55.28,72.23,0.69,2.31,0.03
2017-08-21,"Clear throughout the day.","clear-day",0,NA,56.52,79.6,0.7,3.19,0.02
2017-08-22,"Clear throughout the day.","clear-day",0,NA,57.21,85.82,0.64,0.49,0
2017-08-23,"Mostly cloudy until afternoon.","partly-cloudy-day",0,NA,58.82,73.07,0.77,0.79,0.32
2017-08-24,"Mostly cloudy until afternoon.","partly-cloudy-day",0,NA,57.11,69.62,0.67,0.96,0.52
2017-08-25,"Clear throughout the day.","clear-day",0,NA,51.7,73.02,0.66,1.48,0.02
2017-08-26,"Clear throughout the day.","clear-day",0,NA,51.78,79.28,0.61,1.75,0
2017-08-27,"Clear throughout the day.","clear-day",0,NA,57.04,83.76,0.59,1.55,0.01
2017-08-28,"Clear throughout the day.","clear-day",0,NA,58.73,86.55,0.64,0.82,0.01
